Дата игры,Название команды,Количество игроков,Номер стола,Раунд 1,Раунд 2,Раунд 3,Раунд 4,Раунд 5,Раунд 6,Раунд 7,Итоговый счет,Место в игре,Источник
7/4/2025,Гренки,2,7,4,2,2,3,0,2,4,17,4,Квиз_04.07.2025
7/4/2025,Три товарища,8,"1,2",5,2,0,1,0,0,8,16,5,Квиз_04.07.2025
7/4/2025,Испанский стыд,5,6,2,3,3,0,2,1,3,14,6,Квиз_04.07.2025
7/11/2025,Нашатырь,5,6,7,7,3,6,8,5,20,56,1,Квиз_11.07.2025
7/11/2025,Люди Короля,6,9,5,8,5,5,2,6,16,47,2,Квиз_11.07.2025
7/11/2025,Не смотрите наверх,6,4,5,7,5,4,6,5,12,44,3,Квиз_11.07.2025
7/11/2025,Испанский стыд,5,5,5,6,2,6,6,4,15,44,4,Квиз_11.07.2025
7/11/2025,СНТ Прошкино,5,2,5,4,5,3,4,4,12,37,5,Квиз_11.07.2025
7/11/2025,Импровизация,4,3,5,7,2,1,2,5,14,36,6,Квиз_11.07.2025
7/11/2025,BMW,2,8,5,4,2,3,2,3,13,32,7,Квиз_11.07.2025
7/11/2025,Стол №1,6,1,3,4,4,2,6,3,9,31,8,Квиз_11.07.2025
7/18/2025,Люди Короля,6,9,7,7,5,6,4,5,19,53,1,Квиз_18.07.2025
7/18/2025,Не смотрите наверх,5,4,8,6,4,6,4,6,15,49,2,Квиз_18.07.2025
7/18/2025,Нашатырь,5,6,6,4,5,6,6,6,14,47,3,Квиз_18.07.2025
7/18/2025,Импровизация,4,2,6,7,3,2,6,4,11,39,4,Квиз_18.07.2025
7/18/2025,Испанский стыд,3,5,7,5,4,6,2,5,9,38,5,Квиз_18.07.2025
